id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto,departamento,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,en_lista,primer_apellido,segundo_apellido,nombres,votos,curules
619940009,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5038,ANGOSTURA,Municipal,,998,,VOTOS NULOS,,,124,0
619940009,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5038,ANGOSTURA,Municipal,,999,,VOTOS EN BLANCO,,,8,0
619940010,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5040,ANORI,Municipal,19940016,51,1,OSPINA,ME,RAFAEL AUGUSTO,943,1
619940010,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5040,ANORI,Municipal,,994,,RESTO DE VOTACION,,,1601,0
619940010,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5040,ANORI,Municipal,,998,,VOTOS NULOS,,,122,0
619940010,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5040,ANORI,Municipal,,999,,VOTOS EN BLANCO,,,24,0
619940011,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5042,ANTIOQUIA,Municipal,19940016,51,1,LEAL,SARR,HEMEL DE JESUS,2340,1
619940011,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5042,ANTIOQUIA,Municipal,,994,,RESTO DE VOTACION,,,2406,0
619940011,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5042,ANTIOQUIA,Municipal,,998,,VOTOS NULOS,,,265,0
619940011,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5042,ANTIOQUIA,Municipal,,999,,VOTOS EN BLANCO,,,46,0
619940012,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5044,ANZA,Municipal,18480001,51,1,VELASQUEZ,,CESAR DE JESUS,776,1
619940012,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5044,ANZA,Municipal,,994,,RESTO DE VOTACION,,,156,0
619940012,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5044,ANZA,Municipal,,998,,VOTOS NULOS,,,85,0
619940012,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5044,ANZA,Municipal,,999,,VOTOS EN BLANCO,,,12,0
619940013,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5045,APARTADO,Municipal,19949998,50,1,CUARTAS,MONTOYA,GLORIA ISABEL,6194,1
619940013,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5045,APARTADO,Municipal,,998,,VOTOS NULOS,,,742,0
619940013,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5045,APARTADO,Municipal,,999,,VOTOS EN BLANCO,,,399,0
619940014,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5051,ARBOLETES,Municipal,18480001,51,1,LOPEZ,PUCHE,DAVID,1775,1
619940014,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5051,ARBOLETES,Municipal,,994,,RESTO DE VOTACION,,,3435,0
619940014,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5051,ARBOLETES,Municipal,,998,,VOTOS NULOS,,,289,0
619940014,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5051,ARBOLETES,Municipal,,999,,VOTOS EN BLANCO,,,21,0
619940015,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5055,ARGELIA,Municipal,18490002,51,1,AGUIRRE,DU,LUIS FERNANDO,1648,1
619940015,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5055,ARGELIA,Municipal,,994,,RESTO DE VOTACION,,,1375,0
619940015,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5055,ARGELIA,Municipal,,998,,VOTOS NULOS,,,151,0
619940015,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5055,ARGELIA,Municipal,,999,,VOTOS EN BLANCO,,,10,0
619940016,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5059,ARMENIA,Municipal,19949998,51,1,QUICENO,SANCHEZ,IVAN DARIO,694,1
619940016,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5059,ARMENIA,Municipal,,994,,RESTO DE VOTACION,,,676,0
619940016,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5059,ARMENIA,Municipal,,998,,VOTOS NULOS,,,63,0
619940016,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5059,ARMENIA,Municipal,,999,,VOTOS EN BLANCO,,,24,0
619940017,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5079,BARBOSA,Municipal,18480001,51,1,CANO,H,GUILLEMRO ANTONIO,4977,1
619940017,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5079,BARBOSA,Municipal,,994,,RESTO DE VOTACION,,,4088,0
619940017,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5079,BARBOSA,Municipal,,998,,VOTOS NULOS,,,458,0
619940017,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5079,BARBOSA,Municipal,,999,,VOTOS EN BLANCO,,,186,0
619940018,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5086,BELMIRA,Municipal,18490002,51,1,VILLA,LONDONO,NABOR ALFONSO,863,1
619940018,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5086,BELMIRA,Municipal,,994,,RESTO DE VOTACION,,,536,0
619940018,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5086,BELMIRA,Municipal,,998,,VOTOS NULOS,,,47,0
619940018,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5086,BELMIRA,Municipal,,999,,VOTOS EN BLANCO,,,12,0
619940019,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5088,BELLO,Municipal,19940016,50,1,SUAREZ,MIRA,OSCAR,21567,1
619940019,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5088,BELLO,Municipal,18480001,51,1,MONTOYA,,OSCAR,10445,0
619940019,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5088,BELLO,Municipal,18480001,52,1,GIL,,ERIBERTO,353,0
619940019,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5088,BELLO,Municipal,18490002,53,1,ALVAREZ,TOBON,RAMIRO DE JESUS,5709,0
619940019,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5088,BELLO,Municipal,,998,,VOTOS NULOS,,,1466,0
619940019,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5088,BELLO,Municipal,,999,,VOTOS EN BLANCO,,,1085,0
619940020,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5091,BETANIA,Municipal,18480001,51,1,ARROYO,,RIGOBERTO DE JESUS,1301,1
619940020,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5091,BETANIA,Municipal,,994,,RESTO DE VOTACION,,,1148,0
619940020,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5091,BETANIA,Municipal,,998,,VOTOS NULOS,,,130,0
619940020,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5091,BETANIA,Municipal,,999,,VOTOS EN BLANCO,,,21,0
619940021,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5093,BETULIA,Municipal,18480001,51,1,MORENO,DE CARO,FRANCISCO A,1361,1
619940021,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5093,BETULIA,Municipal,,994,,RESTO DE VOTACION,,,2176,0
619940021,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5093,BETULIA,Municipal,,998,,VOTOS NULOS,,,173,0
619940021,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5093,BETULIA,Municipal,,999,,VOTOS EN BLANCO,,,22,0
619940022,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5101,BOLIVAR,Municipal,18490002,51,1,RINCON,RAM,JULIO ALBERTO,3126,1
619940022,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5101,BOLIVAR,Municipal,,994,,RESTO DE VOTACION,,,2112,0
619940022,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5101,BOLIVAR,Municipal,,998,,VOTOS NULOS,,,335,0
619940022,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5101,BOLIVAR,Municipal,,999,,VOTOS EN BLANCO,,,105,0
619940023,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5107,BRICENO,Municipal,18490002,51,1,MORENO,T,HUMBERTO ALIRIO,758,1
619940023,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5107,BRICENO,Municipal,,994,,RESTO DE VOTACION,,,864,0
619940023,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5107,BRICENO,Municipal,,998,,VOTOS NULOS,,,143,0
619940023,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5107,BRICENO,Municipal,,999,,VOTOS EN BLANCO,,,4,0
619940024,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5113,BURITICA,Municipal,19940016,51,1,VELEZ,HINCAPIE,JOSE LUIS,1193,1
619940024,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5113,BURITICA,Municipal,,994,,RESTO DE VOTACION,,,1036,0
619940024,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5113,BURITICA,Municipal,,998,,VOTOS NULOS,,,84,0
619940024,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5113,BURITICA,Municipal,,999,,VOTOS EN BLANCO,,,7,0
619940025,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5120,CACERES,Municipal,18480001,51,1,ORTEGA,S,DOMINGO MANUEL,1091,1
619940025,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5120,CACERES,Municipal,,994,,RESTO DE VOTACION,,,3764,0
619940025,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5120,CACERES,Municipal,,998,,VOTOS NULOS,,,405,0
619940025,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5120,CACERES,Municipal,,999,,VOTOS EN BLANCO,,,14,0
619940026,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5125,CAICEDO,Municipal,18480001,51,1,RESTREPO,,ELKIN DE JESUS,1014,1
619940026,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5125,CAICEDO,Municipal,,994,,RESTO DE VOTACION,,,805,0
619940026,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5125,CAICEDO,Municipal,,998,,VOTOS NULOS,,,95,0
619940026,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5125,CAICEDO,Municipal,,999,,VOTOS EN BLANCO,,,7,0
619940027,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5129,CALDAS,Municipal,18480001,51,1,GUTIERREZ,MORALES,SAUL,4950,1
619940027,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5129,CALDAS,Municipal,,994,,RESTO DE VOTACION,,,4690,0
619940027,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5129,CALDAS,Municipal,,998,,VOTOS NULOS,,,478,0
619940027,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5129,CALDAS,Municipal,,999,,VOTOS EN BLANCO,,,179,0
619940028,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5134,CAMPAMENTO,Municipal,19949998,51,1,CORREA,LO,DONAY DE JESUS,1130,1
619940028,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5134,CAMPAMENTO,Municipal,,994,,RESTO DE VOTACION,,,833,0
619940028,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5134,CAMPAMENTO,Municipal,,998,,VOTOS NULOS,,,116,0
619940028,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5134,CAMPAMENTO,Municipal,,999,,VOTOS EN BLANCO,,,4,0
619940029,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5138,CANASGORDAS,Municipal,18490002,51,1,MEDINA,P,RAMIRO DE JESUS,2084,1
619940029,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5138,CANASGORDAS,Municipal,,994,,RESTO DE VOTACION,,,1724,0
619940029,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5138,CANASGORDAS,Municipal,,998,,VOTOS NULOS,,,218,0
619940029,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5138,CANASGORDAS,Municipal,,999,,VOTOS EN BLANCO,,,38,0
619940030,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5142,CARACOLI,Municipal,18490002,51,1,PEREZ,C,GILDARDO ANTONIO,662,1
619940030,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5142,CARACOLI,Municipal,,994,,RESTO DE VOTACION,,,969,0
619940030,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5142,CARACOLI,Municipal,,998,,VOTOS NULOS,,,68,0
619940030,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5142,CARACOLI,Municipal,,999,,VOTOS EN BLANCO,,,13,0
619940031,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5145,CARAMANTA,Municipal,19940016,51,1,ARISTIZABAL,,JOSE FERNANDO,1337,1
619940031,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5145,CARAMANTA,Municipal,,994,,RESTO DE VOTACION,,,1274,0
619940031,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5145,CARAMANTA,Municipal,,998,,VOTOS NULOS,,,67,0
619940031,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5145,CARAMANTA,Municipal,,999,,VOTOS EN BLANCO,,,18,0
619940032,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5147,CAREPA,Municipal,18480001,51,1,MUNOZ,VALENCIA,OSVALDO A,2224,1
619940032,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5147,CAREPA,Municipal,,994,,RESTO DE VOTACION,,,2061,0
619940032,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5147,CAREPA,Municipal,,998,,VOTOS NULOS,,,226,0
619940032,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5147,CAREPA,Municipal,,999,,VOTOS EN BLANCO,,,54,0
619940033,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5148,CARMEN DE VIBORAL,Municipal,18480001,51,1,BETANCUR,ZULUAGA,ALPIDIO,4400,1
619940033,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5148,CARMEN DE VIBORAL,Municipal,,994,,RESTO DE VOTACION,,,2990,0
619940033,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5148,CARMEN DE VIBORAL,Municipal,,998,,VOTOS NULOS,,,277,0
619940033,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5148,CARMEN DE VIBORAL,Municipal,,999,,VOTOS EN BLANCO,,,42,0
619940034,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5150,CAROLINA,Municipal,18490002,51,1,RUA,R,MARGARITA MARINA,733,1
619940034,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5150,CAROLINA,Municipal,,994,,RESTO DE VOTACION,,,759,0
619940034,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5150,CAROLINA,Municipal,,998,,VOTOS NULOS,,,58,0
619940034,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5150,CAROLINA,Municipal,,999,,VOTOS EN BLANCO,,,14,0
619940035,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5154,CAUCASIA,Municipal,18480001,51,1,QUINTERO,GOMEZ,JAIME DE JESUS,5532,1
619940035,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5154,CAUCASIA,Municipal,,994,,RESTO DE VOTACION,,,8683,0
619940035,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5154,CAUCASIA,Municipal,,998,,VOTOS NULOS,,,539,0
619940035,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5154,CAUCASIA,Municipal,,999,,VOTOS EN BLANCO,,,83,0
619940036,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5172,CHIGORODO,Municipal,18480001,51,1,CASTRILLON,UR,ORIOL D EJ,2918,1
619940036,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5172,CHIGORODO,Municipal,,994,,RESTO DE VOTACION,,,2219,0
619940036,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5172,CHIGORODO,Municipal,,998,,VOTOS NULOS,,,225,0
619940036,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5172,CHIGORODO,Municipal,,999,,VOTOS EN BLANCO,,,19,0
619940037,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5190,CISNEROS,Municipal,18480001,51,1,DUQUE,,LUIS ALIRIO,1416,1
619940037,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5190,CISNEROS,Municipal,,994,,RESTO DE VOTACION,,,1242,0
619940037,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5190,CISNEROS,Municipal,,998,,VOTOS NULOS,,,137,0
619940037,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5190,CISNEROS,Municipal,,999,,VOTOS EN BLANCO,,,34,0
619940038,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5197,COCORNA,Municipal,18490002,51,1,VILLEGAS,A,JUAN ESTEBAN,5107,1
619940038,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5197,COCORNA,Municipal,,994,,RESTO DE VOTACION,,,0,0
619940038,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5197,COCORNA,Municipal,,998,,VOTOS NULOS,,,525,0
619940038,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5197,COCORNA,Municipal,,999,,VOTOS EN BLANCO,,,68,0
619940039,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5206,CONCEPCION,Municipal,19949998,51,1,SUAREZ,SAL,OSCAR ALFONSO,1018,1
619940039,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5206,CONCEPCION,Municipal,,994,,RESTO DE VOTACION,,,899,0
619940039,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5206,CONCEPCION,Municipal,,998,,VOTOS NULOS,,,117,0
619940039,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5206,CONCEPCION,Municipal,,999,,VOTOS EN BLANCO,,,12,0
619940040,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5209,CONCORDIA,Municipal,18480001,51,1,GONZALEZ,BE,SAMUEL DARIO,2183,1
619940040,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5209,CONCORDIA,Municipal,,994,,RESTO DE VOTACION,,,1411,0
619940040,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5209,CONCORDIA,Municipal,,998,,VOTOS NULOS,,,231,0
619940040,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5209,CONCORDIA,Municipal,,999,,VOTOS EN BLANCO,,,34,0
619940041,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5212,COPACABANA,Municipal,18480001,51,1,MONTOYA,MEJIA,JORGE IVAN,7064,1
619940041,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5212,COPACABANA,Municipal,,994,,RESTO DE VOTACION,,,2929,0
619940041,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5212,COPACABANA,Municipal,,998,,VOTOS NULOS,,,352,0
619940041,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5212,COPACABANA,Municipal,,999,,VOTOS EN BLANCO,,,262,0
619940042,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5234,DABEIBA,Municipal,18480001,51,1,GONZALEZ,,GABRIEL EDUARDO,2585,1
619940042,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5234,DABEIBA,Municipal,,994,,RESTO DE VOTACION,,,1533,0
619940042,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5234,DABEIBA,Municipal,,998,,VOTOS NULOS,,,193,0
619940042,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5234,DABEIBA,Municipal,,999,,VOTOS EN BLANCO,,,42,0
619940043,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5237,DON MATIAS,Municipal,19940016,51,1,BERRIO,BA,JOAQUIN EMILIO,2246,1
619940043,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5237,DON MATIAS,Municipal,,994,,RESTO DE VOTACION,,,723,0
619940043,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5237,DON MATIAS,Municipal,,998,,VOTOS NULOS,,,101,0
619940043,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5237,DON MATIAS,Municipal,,999,,VOTOS EN BLANCO,,,32,0
